%time,field.data
1610116651744657465,-1111
1610116651784656701,-1111
1610116651824598767,-1111
1610116651864749370,-1111
1610116651904673377,-1111
1610116651944684998,-1111
1610116651984704508,-1111
1610116652024707549,-1111
1610116652064690886,-1111
1610116652104672130,-1111
1610116652144617805,-1111
1610116652184655695,-1111
1610116652224672139,-1111
1610116652264703826,-1111
1610116652304679616,-1111
1610116652344691022,-1111
1610116652384652463,-1111
1610116652424688514,-1111
1610116652464691151,-1111
1610116652504927669,-1111
1610116652544745899,-1111
1610116652584760297,-1111
1610116652624680765,-1111
1610116652664699523,-7
1610116652704703104,-2333
1610116652744685332,-2333
1610116652784689049,-2333
1610116652824672002,-2333
1610116652864810050,-2333
1610116652904653206,-2333
1610116652944757501,-2333
1610116652984771549,-2333
1610116653024644213,-2333
1610116653064740273,-2333
1610116653104718793,-2333
1610116653144698737,-2333
1610116653184995376,-2333
1610116653224633385,-2333
1610116653264956881,-2333
1610116653304722646,-2333
1610116653344760688,-2333
1610116653384638531,-2333
1610116653424625682,-2333
1610116653464640446,-2333
1610116653504777325,-2333
1610116653544698483,-2333
1610116653584740262,-2333
1610116653624681575,-2333
1610116653664705393,-2333
1610116653704684761,-2333
1610116653744650691,-2333
1610116653784635415,-2333
1610116653824771565,-2333
1610116653864708154,-2333
1610116653904727478,-2333
1610116653944623654,-2333
1610116653984734551,-2333
1610116654024622677,-2333
1610116654064661909,-2333
1610116654104716441,-2333
1610116654144666660,-2333
1610116654184677554,-2333
1610116654224714847,-2333
1610116654265277397,-2333
1610116654304691444,-2333
1610116654344755539,-2333
1610116654384782190,-2333
1610116654424710132,-2333
1610116654464787925,-2333
1610116654504741435,-2333
1610116654544782462,-2333
1610116654585036652,-2333
1610116654624743047,-2333
1610116654664730423,-2333
1610116654704700984,-2333
1610116654744720532,-2333
1610116654784740858,-2333
1610116654824717696,-2333
1610116654864715465,-2333
1610116654904704017,-2333
1610116654944759939,-2333
1610116654984671579,-2333
1610116655024758352,-2333
1610116655064745429,-2333
1610116655104736675,-2333
1610116655144722825,-2333
1610116655184747707,-2333
1610116655224660437,-2333
1610116655264766111,-2333
1610116655304752372,-2333
1610116655344609922,-2333
1610116655384917288,-2333
1610116655424949457,-2333
1610116655464729327,-2333
1610116655504737768,-2333
1610116655544912894,-2333
1610116655584761872,-2333
1610116655624782481,-2333
1610116655664738894,-2333
1610116655704775820,-2333
1610116655744748624,-2333
1610116655784717607,-2333
1610116655824766896,-2333
1610116655864739488,-2333
1610116655904689541,-2333
1610116655944732317,-2333
1610116655984741233,-2333
1610116656024910504,-2333
1610116656064743600,-2333
1610116656104718857,-2333
1610116656144675746,-2333
1610116656184660432,-2333
1610116656224743342,-2333
1610116656265094863,-2333
1610116656304683675,-2333
1610116656344705703,-2333
1610116656384733204,-2333
1610116656424696430,-2333
1610116656464732465,-2333
1610116656504651232,-2333
1610116656544612477,-2333
1610116656584732671,-2333
1610116656624731079,-2333
1610116656664663799,-2333
1610116656704746784,-2333
1610116656744688494,-2333
1610116656784630152,-2333
1610116656824687670,-2333
1610116656864631538,-2333
1610116656904714714,-2333
1610116656944621175,-2333
1610116656984703123,-2333
1610116657024885210,-2333
1610116657064697400,-2333
1610116657104640292,-2333
1610116657144655197,-2333
1610116657184692375,-2333
1610116657224691577,-2333
1610116657265378881,-2333
1610116657304711106,-2333
1610116657344807203,-2333
1610116657384738900,-2333
1610116657424688219,-2333
1610116657464718569,-2333
1610116657504786656,-2333
1610116657544692605,-2333
1610116657584650944,-2333
1610116657624667625,-2333
1610116657664728609,-2333
1610116657704728027,-2333
1610116657744630691,-2333
1610116657784653971,-2333
1610116657824856617,-2333
1610116657864695364,-2333
1610116657904719883,-2333
1610116657944643394,-2333
1610116657984813901,-2333
1610116658024746478,-2333
1610116658064671713,-2333
1610116658104689931,-2333
1610116658144753135,-2333
1610116658184642189,-2333
1610116658224692490,-2333
1610116658264711861,-2333
1610116658304695515,-2333
1610116658344648599,-2333
1610116658384665380,-2333
1610116658424639979,-2333
1610116658464729097,-2333
1610116658504737961,-2333
1610116658544692262,-2333
1610116658584755177,-2333
1610116658624787243,-2333
1610116658664664756,-2333
1610116658704706441,-2333
1610116658744697151,-2333
1610116658784724113,-2333
1610116658824705771,-2333
1610116658864687904,-2333
1610116658904675174,-2333
1610116658944719439,-2333
1610116658984676564,-2333
1610116659024630161,-2333
1610116659064694987,-2333
1610116659104720592,-2333
1610116659144735846,-2333
1610116659184703003,-2333
1610116659224631680,-2333
1610116659264698857,-2333
1610116659304659928,-2333
1610116659344717692,-2333
1610116659384705320,-2333
1610116659424703603,-2333
1610116659464755508,-2333
1610116659504710710,-2333
1610116659545217495,-2333
1610116659584679914,-2333
1610116659624665785,-2333
1610116659664687669,-2333
1610116659705450758,-2333
1610116659744683616,-2333
1610116659784806828,-2333
1610116659824730642,-2333
1610116659864942063,-2333
1610116659904753201,-2333
1610116659944803142,-2333
1610116659984651491,-2333
1610116660024657192,-2333
1610116660065050463,-2333
1610116660104666224,-2333
1610116660144628561,-2333
1610116660184681027,-2333
1610116660224727779,-2333
1610116660265261971,-2333
1610116660304679256,-2333
1610116660344703700,-2333
1610116660384845391,-2333
1610116660424721265,-2333
1610116660464701931,-2333
1610116660504685951,-2333
1610116660544708742,-2333
1610116660584819027,-2333
1610116660624634224,-2333
1610116660664668999,-2333
1610116660704717524,-2333
1610116660744646804,-2333
1610116660784771995,-2333
1610116660824684448,-2333
1610116660864718557,-2333
1610116660904721674,-2333
1610116660944737406,-2333
1610116660984728142,-2333
1610116661024745195,-2333
1610116661064733364,-2333
1610116661104670274,-2333
1610116661144783939,-2333
1610116661184754211,-2333
1610116661224632242,-2333
1610116661265652439,-2333
1610116661304695199,-2333
1610116661344766658,-2333
1610116661384757626,-2333
1610116661424774614,-2333
1610116661464609037,-2333
1610116661504731884,-2333
1610116661544696559,-2333
1610116661584697100,-2333
1610116661624992875,-2333
1610116661664988048,-2333
1610116661704693310,-2333
1610116661744719070,-2333
1610116661784597691,-2333
1610116661824659435,-2333
1610116661864630450,-2333
1610116661904790290,-2333
1610116661944647150,-2333
1610116661984624774,-2333
1610116662024679965,-2333
1610116662064803125,-2333
1610116662104628198,-2333
1610116662144662572,-2333
1610116662184747799,-2333
1610116662224666611,-2333
1610116662264662770,-2333
1610116662304716866,-2333
1610116662344641138,-2333
1610116662384660937,-2333
1610116662424638580,-2333
1610116662464802194,-2333
1610116662504717492,-2333
1610116662544728806,-2333
1610116662584706678,-2333
1610116662624789206,-2333
1610116662664735315,-2333
1610116662704706189,-2333
1610116662744659214,-8
1610116662784751785,-8
1610116662824747358,-8
1610116662864720854,-8
1610116662904681288,-8
1610116662944706519,-8
1610116662984647840,-8
1610116663024719277,-8
1610116663064715278,-8
1610116663104734866,-8
1610116663144678702,-8
1610116663184612017,-8
1610116663224939957,-8
1610116663265035551,-8
1610116663304668761,-8
1610116663344645454,-8
1610116663384648698,-8
1610116663424738871,-8
1610116663464674205,-8
1610116663504685555,-8
1610116663544730285,-8
1610116663584691372,-8
1610116663624668808,-8
1610116663664681902,-8
1610116663704714772,-8
1610116663744758560,-8
1610116663784710473,-8
1610116663824665756,-8
1610116663864682360,-8
1610116663904683276,-8
1610116663944753003,-8
1610116663984718930,-8
1610116664024672126,-8
1610116664064975994,-8
1610116664104705901,-8
1610116664144730042,-8
1610116664184654890,-8
1610116664224711677,-8
1610116664265112831,-8
1610116664304671173,-8
1610116664344677389,-8
1610116664384715538,-8
1610116664424729208,-8
1610116664464629008,-8
1610116664504656798,-8
1610116664544646897,-8
1610116664584694873,-8
1610116664624687946,-8
1610116664664671279,-8
1610116664704695813,-8
1610116664744726460,-8
1610116664784645338,-8
1610116664824673103,-8
1610116664864737997,-8
1610116664904677445,-8
1610116664944698708,-8
1610116664984791297,-8
1610116665024758271,-8
1610116665064779342,-8
1610116665104781037,-8
1610116665144711624,-8
1610116665184760007,-8
1610116665224767517,-8
1610116665264662631,-8
1610116665304655536,-8
1610116665344723555,-8
1610116665384622109,-8
1610116665424729945,-8
1610116665464691040,-8
1610116665504738783,-8
1610116665544683826,-8
1610116665584732554,-8
1610116665624664434,-8
1610116665664757467,-8
1610116665704743185,-8
1610116665744666960,-8
1610116665784678268,-8
1610116665824759297,-8
1610116665864731592,-8
1610116665904672357,-8
1610116665944956660,-8
1610116665984687738,-8
1610116666024823461,-8
1610116666064715603,-8
1610116666104688015,-8
1610116666144770305,-8
1610116666184773634,-8
1610116666224751459,-8
1610116666264637016,-8
1610116666304722878,-8
1610116666344671929,-8
1610116666384720070,-8
1610116666424664441,-8
1610116666464639772,-8
1610116666504668946,-8
1610116666544630742,-8
1610116666585227257,-8
1610116666624655198,-8
1610116666664650166,-8
1610116666704707844,-8
1610116666744656918,-8
1610116666784741825,-8
1610116666824724998,-8
1610116666864622655,-8
1610116666904738566,-8
1610116666944833037,-8
1610116666984644465,-8
1610116667024734396,-8
1610116667064646601,-8
1610116667105015432,-8
1610116667144701029,-8
1610116667184722640,-8
1610116667224698960,-8
1610116667264904650,-8
1610116667304687069,-8
1610116667344646240,-8
1610116667384685575,-8
1610116667424755148,-8
1610116667464668461,-8
1610116667504822060,-8
1610116667544653277,-8
1610116667584671750,-8
