%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1610117288794305780,72051,1610117288794141276,base_link,-0.463399151701,0.43227149598,2.37721679907,-0.0150757066756,-0.0328016254123,-0.0714343965381
1610117288814192548,72052,1610117288814077558,base_link,-0.457890976495,0.442610399339,2.38106089759,-0.0152818191287,-0.0324588308352,-0.071436723496
1610117288834178729,72053,1610117288834051577,base_link,-0.46040714055,0.462001058353,2.36683419456,-0.0155203655771,-0.0328371133127,-0.0712298282097
1610117288834277584,72054,1610117288834192321,base_link,-0.466649689752,0.472196010611,2.35876460292,-0.0153127779185,-0.0331776813939,-0.0710275168114
1610117288854290527,72055,1610117288854174408,base_link,-0.474645186044,0.492976414925,2.34658835318,-0.0156209090955,-0.0338296179571,-0.0710179233729
1610117288874812243,72056,1610117288874535776,base_link,-0.471950109859,0.51558326604,2.34432335605,-0.0162002797163,-0.0344098172319,-0.0708079269621
1610117288894316635,72057,1610117288894166202,base_link,-0.488364575816,0.508090000471,2.35052826122,-0.0161670942579,-0.0348579379407,-0.0710031910581
1610117288914838162,72058,1610117288914417549,base_link,-0.506903563571,0.480574620471,2.34696712501,-0.0159623159505,-0.0352029420931,-0.0709993370466
1610117288914988257,72059,1610117288914589464,base_link,-0.519543184717,0.458999912522,2.35130336314,-0.0157924048359,-0.0351021548702,-0.071201724182
1610117288934362515,72060,1610117288934174282,base_link,-0.505488868422,0.451100891989,2.3492887516,-0.015725562279,-0.0348299639209,-0.071405283269
1610117288954238057,72061,1610117288954103165,base_link,-0.503486739088,0.447583501658,2.34131291618,-0.0157270325122,-0.0348322155804,-0.0716052983802
1610117288974451481,72062,1610117288974223130,base_link,-0.487384326209,0.459587183766,2.3370866851,-0.016103395644,-0.0345839600022,-0.071206224044
1610117288994455720,72063,1610117288994131647,base_link,-0.492393514612,0.456698037683,2.35515762961,-0.0156589547945,-0.0345515024626,-0.0714099124313
1610117288994465428,72064,1610117288994220843,base_link,-0.505784051084,0.455636720952,2.35326792411,-0.0154557921995,-0.0348987854435,-0.0718075684703
1610117289015008503,72065,1610117289014676190,base_link,-0.534252648149,0.429158188798,2.35174059407,-0.0149052363578,-0.0350383110164,-0.0716082643859
1610117289034185380,72066,1610117289034057262,base_link,-0.561331867196,0.396529794573,2.35030761376,-0.0140135041977,-0.0349689169942,-0.0716156074321
